number,wl,c,u
1,305.66,1.25474644537329,0.58527227072263
2,308.98,0.984929612241031,1.08010321304945
3,312.29,-1.14040439931418,1.67263170557605
4,315.61,-0.565121509271767,1.11740975286613
5,318.93,-1.09636801291791,1.02281407467976
6,322.24,-1.11154200007061,0.472320018106182
7,325.56,-0.780693869731426,0.571098555953129
8,328.88,-0.913209048466524,0.372499987157327
9,332.21,-0.274605389626307,0.331459268637505
10,335.53,-0.205930620337515,0.327370639444738
11,338.85,-0.101296709071068,0.378731322059411
12,342.17,-0.167044543238557,0.509021979969187
13,345.5,0.298646749323574,0.366062281664666
14,348.82,0.212529915226865,0.515730510799377
15,352.14,0.314339358257421,0.388457573491966
16,355.47,0.596632900027954,0.342301749042348
17,358.8,0.459796541265693,0.379855997671718
18,362.12,0.542266140104262,0.395399340515644
19,365.45,0.610303004298338,0.293608114406951
20,368.78,0.495748518071429,0.301055254632709
21,372.11,0.350937893393086,0.397604079261081
22,375.44,0.284659126697596,0.378626539127933
23,378.77,0.214479928828615,0.376358041758376
24,382.1,0.224934816880398,0.359624579593144
25,385.43,0.218472052858785,0.35384269995557
26,388.76,0.27078470935154,0.299150718194386
27,392.09,0.28356092172661,0.298988521709782
28,395.42,0.242591456339736,0.329316389978353
29,398.75,0.218123759057548,0.324593773928033
30,402.09,0.234157451848124,0.337489039651149
31,405.42,0.178742287748205,0.342882668113685
32,408.76,0.151464406955213,0.344398119648601
33,412.09,0.168405964228443,0.336566764661072
34,415.43,0.163988061697952,0.329350896909131
35,418.76,0.176183004381471,0.335409191124383
36,422.1,0.20899706605399,0.337582830843054
37,425.43,0.209971521205406,0.330796074852835
38,428.77,0.225638022072955,0.328794067497308
39,432.11,0.227944218313365,0.321746625364183
40,435.44,0.224748874809097,0.32461445868015
41,438.78,0.245781720694543,0.324934548034354
42,442.12,0.262611662941347,0.326498343279288
43,445.46,0.299876829539009,0.329344481057463
44,448.8,0.317547371334752,0.325062497715233
45,452.14,0.356484136186942,0.327784330825397
46,455.48,0.385909831865344,0.322374692306615
47,458.81,0.384906352547096,0.320307174062855
48,462.15,0.434666576522933,0.312587237495288
49,465.5,0.440913845169912,0.320283611309422
50,468.84,0.45949640782339,0.319524717271523
51,472.18,0.464460369924589,0.327493379277672
52,475.52,0.488180581418021,0.329020724021192
53,478.86,0.494340729685591,0.330668194913296
54,482.2,0.527738721412776,0.327376891163025
55,485.54,0.55478031937431,0.32299397185312
56,488.88,0.585568997190613,0.319223249989169
57,492.22,0.620638171651363,0.320124179606887
58,495.57,0.65694471414482,0.319585433417543
59,498.91,0.689690645761382,0.322673822703583
60,502.25,0.724214309286062,0.320858237207481
61,505.59,0.753580280583293,0.324374000854494
62,508.94,0.783944139366415,0.321655668115079
63,512.28,0.798497655192477,0.322317517043607
64,515.62,0.808108330922411,0.319858154794152
65,518.96,0.82410214774736,0.31769045287425
66,522.31,0.841599899535366,0.317958879390291
67,525.65,0.848895864608324,0.314585080945189
68,528.99,0.866657320109033,0.31582487466712
69,532.34,0.867610357651742,0.318260624768131
70,535.68,0.869403354542441,0.318217400544636
71,539.02,0.876590474458294,0.321013839271509
72,542.37,0.870751789208527,0.317928843346542
73,545.71,0.873510524411314,0.318340869714409
74,549.05,0.876260511866653,0.316053246209958
75,552.39,0.906868740649972,0.315713611025912
76,555.74,0.945215406142557,0.312633677361614
77,559.08,0.993936198886404,0.315797402087684
78,562.42,1.05261043739825,0.31083417046038
79,565.77,1.10186462618162,0.310223640660049
80,569.11,1.14855294912826,0.310799134428517
81,572.45,1.18635107686043,0.307245044249576
82,575.79,1.19810728185826,0.312448012615806
83,579.14,1.21508522440786,0.308318706545641
84,582.48,1.2383240112406,0.30553015683479
85,585.82,1.2523328096531,0.306659711561011
86,589.16,1.26345546212069,0.309672048894343
87,592.5,1.28213741039357,0.306915279802102
88,595.84,1.29209108615146,0.303403663715004
89,599.19,1.30138117017128,0.306880847878873
90,602.53,1.31679718372462,0.303654022668437
91,605.87,1.32902583750045,0.30094892200306
92,609.21,1.33133746837763,0.302151788609241
93,612.55,1.36286644847875,0.303123767287988
94,615.89,1.3903660497186,0.295644429595409
95,619.23,1.40425000898598,0.299909851382295
96,622.57,1.43781808942865,0.293966659848187
97,625.91,1.4556555630309,0.29719698214343
98,629.25,1.47871693855117,0.296719506451139
99,632.58,1.50821068812152,0.291541196351255
100,635.92,1.51951542464302,0.297042901540664
101,639.26,1.54797696872732,0.29175148062843
102,642.6,1.5723788406717,0.290167418239556
103,645.94,1.59184422517753,0.286933515383846
104,649.27,1.61659927770191,0.288824663524322
105,652.61,1.63482420783891,0.291179832292007
106,655.95,1.64525743009454,0.286731758926263
107,659.28,1.64518811702525,0.289029021029532
108,662.62,1.66146073278806,0.286309421683962
109,665.95,1.6908842705241,0.286427366659475
110,669.29,1.71551491098528,0.284312419247131
111,672.62,1.7297884640389,0.282625576312193
112,675.95,1.759961712037,0.284309495206945
113,679.29,1.79452614306395,0.283663852931267
114,682.62,1.81470493844521,0.279367331633649
115,685.95,1.84169356556308,0.281112966055661
116,689.28,1.87443378538469,0.2853770839747
117,692.61,1.91846074896568,0.28156002218256
118,695.94,1.96216116071453,0.281621683757011
119,699.28,2.00813049120131,0.279005804107065
120,702.6,2.06679623609127,0.280353762939478
121,705.93,2.12144332556516,0.276505231267542
122,709.26,2.1600364690514,0.272924990102898
123,712.59,2.18709471558254,0.278665536523365
124,715.92,2.2134852329349,0.270296876191742
125,719.24,2.23294315993089,0.274075976215726
126,722.57,2.24580327457156,0.267305868015148
127,725.89,2.23577158727549,0.273130848915126
128,729.22,2.21672784463106,0.272434997124696
129,732.54,2.21748559806926,0.270058404224768
130,735.87,2.20233846102652,0.269750341887834
131,739.19,2.22506573527955,0.265468813796879
132,742.51,2.26264935145022,0.265945533972019
133,745.83,2.32230610956468,0.265464174776055
134,749.15,2.38750979561299,0.266151946775655
135,752.47,2.46714809193405,0.264990822690905
136,755.79,2.54736559155486,0.259716779370652
137,759.11,2.62627043440124,0.258917566362694
138,762.43,2.71902134067149,0.259995042670263
139,765.75,2.80883984428904,0.25509301132964
140,769.06,2.87204114027795,0.25149438996566
141,772.38,2.97013833879538,0.250844297674132
142,775.69,3.05243122462455,0.24750462129184
143,779,3.13962373127847,0.238137482966105
144,782.32,3.17895323770799,0.249723210064426
145,785.63,3.24740753572477,0.245413561124116
146,788.94,3.30126120401684,0.248641817663882
147,792.25,3.35097397846132,0.251321932121224
148,795.56,3.40922209006479,0.244462692225787
149,798.87,3.46760968379423,0.241228070682264
150,802.18,3.52250387716664,0.239373420441096
151,805.48,3.56711658075043,0.243906515469805
152,808.79,3.61745187845045,0.236370423288136
153,812.09,3.64089400414577,0.235468871678386
154,815.4,3.66314503646547,0.230523057178623
155,818.7,3.70232655538214,0.226656705475616
156,822,3.70199068087217,0.228532884294749
157,825.3,3.70073012023711,0.234780462728877
158,828.6,3.6667508469267,0.231489871116467
159,831.9,3.62148489225792,0.244411938083012
160,835.2,3.62423629548735,0.234899373792584
161,838.5,3.63725527893236,0.226143346637833
162,841.79,3.67276619527491,0.224604273521725
163,845.09,3.71891264650523,0.211555103956213
164,848.38,3.77125936662289,0.217171607291245
165,851.68,3.84056724932364,0.221513335647048
166,854.97,3.90028336938512,0.219325503742366
167,858.26,3.99241396663333,0.19815334395754
168,861.55,4.06270552517431,0.19090050784616
169,864.84,4.121129169165,0.192752492464934
170,868.12,4.20431878431694,0.204585793828612
171,871.41,4.2971318969837,0.193711076455552
172,874.7,4.36080367139449,0.199484536473127
173,877.98,4.44131836072775,0.185159331448737
174,881.26,4.54551328565108,0.165576060507643
175,884.54,4.58650076471523,0.184788120966685
176,887.82,4.61112085179158,0.196813123960936
177,891.1,4.68927808037199,0.195760532158654
178,894.38,4.74147503390527,0.190425342460132
179,897.66,4.77704371893853,0.189174265245408
180,900.93,4.83384011600954,0.174532889569489
